epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1617.3,0.16107,1.15658,0.9452,0.55618,0.4472,0.48077,0.45751,0.1491,2.63502,0.15961,0.0670735,0.000332591,0.000332591
2,3224.5,0.13943,0.87029,0.92251,0.7991,0.60188,0.78735,0.7651,0.0922,2.84994,0.12943,0.0340669,0.000659332,0.000659332
3,4828.8,0.13023,0.79972,0.91701,0.6509,0.8179,0.81646,0.7836,0.11387,0.49707,0.12705,0.00105371,0.000979472,0.000979472
4,6430.75,0.12137,0.75308,0.90914,0.71441,0.745,0.83549,0.83487,0.07953,0.62415,0.1164,0.0009703,0.0009703,0.0009703
5,8032.03,0.10977,0.72087,0.90743,0.64079,0.80763,0.81117,0.80532,0.06996,1.00965,0.09727,0.0009604,0.0009604,0.0009604
6,9633.91,0.10614,0.68942,0.90604,0.63321,0.71325,0.73076,0.72843,0.06924,0.34953,0.10175,0.0009505,0.0009505,0.0009505
7,11238.6,0.09502,0.67495,0.90361,0.82574,0.80806,0.89728,0.87124,0.12273,0.40197,0.16832,0.0009406,0.0009406,0.0009406
8,12842.6,0.08715,0.65551,0.89853,0.78393,0.81572,0.89238,0.88193,0.08619,0.35916,0.12695,0.0009307,0.0009307,0.0009307
9,14451,0.08959,0.63618,0.90096,0.7415,0.85144,0.85486,0.84501,0.07664,1.83012,0.10761,0.0009208,0.0009208,0.0009208
10,16056.7,0.0809,0.62429,0.89557,0.81746,0.84836,0.90052,0.85852,0.10184,0.64997,0.14284,0.0009109,0.0009109,0.0009109
